ID,Genero,Edad,Nivel_Educativo,Cargo,Pais,Experiencia,Salario
1,M,44,Doctorado,Gerente,ES,25,41003
2,M,30,Preparatoria,Supervisor,FR,31,88077
3,F,24,Doctorado,Especialista,US,2,112555
4,M,55,Secundaria,Analista,DE,18,105526
5,M,25,Licenciatura,Especialista,US,21,61477
6,M,41,Doctorado,Asistente,ES,3,35914
7,M,58,Secundaria,Especialista,US,10,71695
8,M,59,Licenciatura,Especialista,BR,16,37062
9,F,50,Maestría,Especialista,FR,12,71299
10,M,21,Secundaria,Especialista,US,37,48120
11,M,47,Preparatoria,Analista,ES,1,75840
12,M,30,Doctorado,Supervisor,ES,9,49811
13,M,58,Secundaria,Especialista,MX,34,96474
14,M,47,Licenciatura,Director,ES,10,57804
15,M,30,Licenciatura,Supervisor,FR,9,27389
16,M,23,Preparatoria,Analista,DE,31,106309
17,F,26,Doctorado,Asistente,BR,3,36327
18,M,41,Licenciatura,Analista,FR,4,33314
19,F,33,Licenciatura,Analista,US,39,46271
20,F,32,Licenciatura,Supervisor,BR,14,44111
21,M,46,Secundaria,Gerente,BR,19,69839
22,M,55,Secundaria,Gerente,MX,24,46016
23,F,54,Doctorado,Director,US,40,93430
24,F,36,Preparatoria,Gerente,FR,27,115378
25,F,38,Doctorado,Gerente,BR,11,95098
26,M,39,Preparatoria,Analista,DE,27,50450
27,M,35,Maestría,Analista,ES,12,87742
28,F,26,Licenciatura,Supervisor,FR,12,107781
29,M,23,Preparatoria,Analista,DE,34,71056
30,M,45,Licenciatura,Analista,DE,10,28904
31,F,56,Preparatoria,Director,ES,12,69588
32,M,55,Maestría,Gerente,BR,24,76023
33,F,51,Preparatoria,Especialista,ES,8,81675
34,F,29,Doctorado,Especialista,BR,11,38575
35,F,23,Secundaria,Analista,BR,2,92163
36,M,43,Licenciatura,Gerente,BR,32,77751
37,F,20,Secundaria,Analista,BR,14,52834
38,M,47,Preparatoria,Especialista,BR,20,46957
39,F,25,Doctorado,Gerente,MX,26,49922
40,M,38,Preparatoria,Especialista,FR,24,106405
41,F,60,Maestría,Gerente,MX,17,108556
42,F,58,Maestría,Analista,BR,40,88363
43,M,50,Maestría,Supervisor,MX,21,101854
44,M,32,Preparatoria,Asistente,US,2,116403
45,M,26,Maestría,Analista,FR,2,33768
46,M,21,Preparatoria,Director,ES,22,54720
47,F,33,Preparatoria,Director,US,2,111117
48,M,30,Doctorado,Asistente,FR,31,89798
49,M,60,Licenciatura,Especialista,FR,3,98067
50,M,38,Secundaria,Gerente,ES,10,85011
51,F,25,Licenciatura,Asistente,US,27,75760
52,F,50,Secundaria,Gerente,FR,3,67233
53,F,27,Secundaria,Asistente,FR,35,109217
54,F,39,Preparatoria,Supervisor,FR,25,73348
55,M,45,Maestría,Supervisor,ES,39,51098
56,F,50,Maestría,Analista,MX,34,30500
57,F,51,Maestría,Gerente,BR,11,29768
58,M,36,Licenciatura,Gerente,US,11,84363
59,F,25,Maestría,Analista,BR,7,49652
60,M,54,Doctorado,Director,DE,1,25487
61,M,44,Preparatoria,Director,MX,23,99834
62,M,31,Maestría,Gerente,BR,15,71585
63,M,43,Maestría,Analista,FR,6,27244
64,F,44,Maestría,Supervisor,BR,27,112107
65,F,43,Licenciatura,Especialista,MX,5,73829
66,F,31,Preparatoria,Director,MX,8,110028
67,M,48,Doctorado,Analista,MX,31,69397
68,F,22,Maestría,Supervisor,ES,30,79464
69,M,36,Secundaria,Gerente,DE,27,25974
70,M,48,Licenciatura,Supervisor,MX,35,66309
71,M,49,Maestría,Gerente,ES,29,85749
72,F,36,Maestría,Analista,FR,9,36170
73,F,34,Licenciatura,Especialista,MX,39,42574
74,F,37,Doctorado,Director,ES,1,37579
75,M,56,Secundaria,Especialista,FR,20,102941
76,M,23,Secundaria,Asistente,BR,31,93224
77,F,29,Doctorado,Director,DE,31,98585
78,M,26,Licenciatura,Analista,ES,17,40269
79,F,25,Maestría,Analista,MX,9,102710
80,F,42,Doctorado,Gerente,MX,21,42795
81,F,54,Licenciatura,Supervisor,DE,35,87053
82,M,46,Licenciatura,Director,FR,24,89794
83,F,57,Licenciatura,Asistente,DE,40,97559
84,M,34,Licenciatura,Supervisor,FR,7,97299
85,M,55,Secundaria,Analista,DE,31,69656
86,F,23,Licenciatura,Especialista,DE,32,40696
87,F,44,Doctorado,Asistente,MX,37,106912
88,F,53,Maestría,Asistente,DE,13,29257
89,F,46,Maestría,Gerente,US,9,108634
90,M,54,Preparatoria,Director,FR,15,66558
91,M,50,Doctorado,Analista,US,33,57248
92,F,56,Preparatoria,Asistente,FR,9,65902
93,M,35,Doctorado,Director,DE,10,95396
94,M,50,Licenciatura,Especialista,BR,15,80789
95,M,39,Preparatoria,Especialista,US,6,63463
96,M,25,Licenciatura,Supervisor,US,7,30103
97,M,45,Doctorado,Especialista,DE,26,38968
98,F,22,Secundaria,Especialista,DE,19,32197
99,M,52,Secundaria,Gerente,US,40,64348
100,F,56,Secundaria,Director,ES,7,112139
101,F,53,Secundaria,Gerente,DE,16,42946
102,F,56,Maestría,Especialista,ES,15,116213
103,F,59,Secundaria,Especialista,DE,17,58853
104,M,29,Doctorado,Director,MX,12,74752
105,M,27,Secundaria,Especialista,BR,20,45058
106,F,48,Maestría,Supervisor,FR,22,61787
107,F,31,Licenciatura,Analista,DE,30,69556
108,M,30,Preparatoria,Director,US,38,79005
109,F,33,Licenciatura,Analista,MX,34,34751
110,F,32,Licenciatura,Asistente,MX,34,94594
111,M,28,Preparatoria,Asistente,MX,37,72682
112,F,22,Secundaria,Supervisor,US,18,34845
113,M,47,Secundaria,Supervisor,FR,9,90311
114,F,25,Doctorado,Asistente,MX,21,65420
115,M,47,Secundaria,Especialista,FR,28,64298
116,M,32,Secundaria,Especialista,MX,24,78329
117,F,60,Doctorado,Gerente,US,10,27979
118,M,29,Preparatoria,Asistente,US,38,28427
119,M,58,Doctorado,Asistente,MX,3,62375
120,F,36,Secundaria,Especialista,BR,25,67959
121,M,40,Secundaria,Analista,MX,4,49218
122,M,24,Secundaria,Gerente,FR,13,118297
123,F,25,Doctorado,Analista,BR,12,37199
124,F,44,Preparatoria,Asistente,BR,1,43012
125,M,55,Maestría,Analista,MX,10,93806
126,M,45,Doctorado,Director,MX,3,104024
127,F,55,Preparatoria,Gerente,ES,16,103583
128,F,40,Secundaria,Especialista,BR,11,38123
129,M,37,Preparatoria,Supervisor,BR,26,72517
130,M,53,Licenciatura,Gerente,US,21,39860
131,M,49,Licenciatura,Asistente,US,1,37472
132,M,20,Maestría,Analista,FR,37,59629
133,M,59,Secundaria,Analista,ES,31,68749
134,F,57,Maestría,Gerente,FR,31,66721
135,M,53,Licenciatura,Director,DE,23,41217
136,M,46,Maestría,Supervisor,BR,13,48936
137,M,27,Licenciatura,Director,DE,37,100551
138,F,46,Licenciatura,Gerente,FR,26,52827
139,M,29,Preparatoria,Gerente,MX,29,101313
140,F,29,Secundaria,Supervisor,BR,14,35333
141,F,56,Licenciatura,Gerente,US,30,55345
142,M,57,Secundaria,Especialista,DE,40,31432
143,M,57,Maestría,Analista,MX,17,61243
144,F,26,Maestría,Gerente,US,35,65827
145,F,26,Licenciatura,Especialista,US,29,97116
146,F,56,Secundaria,Asistente,DE,8,95950
147,F,26,Licenciatura,Supervisor,DE,18,35441
148,F,38,Licenciatura,Especialista,US,33,118429
149,M,54,Preparatoria,Director,US,22,96950
150,M,42,Maestría,Gerente,FR,22,100675
151,M,46,Secundaria,Director,DE,12,115502
152,M,36,Maestría,Director,DE,17,96573
153,F,44,Preparatoria,Especialista,FR,22,63955
154,M,51,Doctorado,Analista,US,32,97399
155,M,56,Maestría,Asistente,BR,36,111232
156,M,58,Preparatoria,Supervisor,BR,30,63999
157,M,50,Maestría,Especialista,ES,7,38164
158,M,22,Secundaria,Director,ES,22,77907
159,M,31,Preparatoria,Analista,DE,34,30339
160,M,37,Doctorado,Gerente,MX,17,65880
161,M,45,Maestría,Especialista,FR,5,80072
162,M,29,Preparatoria,Director,BR,24,37185
163,F,59,Doctorado,Director,ES,28,111231
164,M,58,Secundaria,Gerente,DE,2,68681
165,M,45,Maestría,Gerente,ES,35,60264
166,F,22,Licenciatura,Asistente,BR,9,31822
167,F,45,Secundaria,Analista,BR,7,42942
168,M,41,Secundaria,Especialista,DE,15,34010
169,M,35,Secundaria,Gerente,MX,30,37362
170,F,23,Secundaria,Especialista,BR,8,102110
171,M,50,Doctorado,Especialista,BR,8,25525
172,F,37,Licenciatura,Especialista,BR,36,39002
173,F,43,Maestría,Gerente,US,19,87518
174,M,21,Secundaria,Asistente,MX,9,30573
175,M,41,Maestría,Supervisor,ES,23,86502
176,M,39,Preparatoria,Asistente,BR,20,72333
177,F,39,Secundaria,Director,MX,29,78213
178,F,37,Secundaria,Gerente,FR,28,96036
179,F,51,Maestría,Supervisor,BR,36,39010
180,F,26,Licenciatura,Especialista,MX,6,59640
181,F,34,Preparatoria,Analista,FR,33,45815
182,M,28,Licenciatura,Analista,ES,12,102444
183,M,39,Maestría,Supervisor,MX,26,98556
184,M,48,Doctorado,Analista,DE,33,57450
185,F,40,Secundaria,Gerente,DE,13,35749
186,F,37,Doctorado,Analista,DE,10,68786
187,M,46,Maestría,Especialista,FR,15,47069
188,M,58,Maestría,Gerente,BR,2,49265
189,M,25,Maestría,Gerente,MX,13,109998
190,M,32,Maestría,Gerente,ES,23,99581
191,F,48,Secundaria,Analista,US,34,116841
192,M,33,Doctorado,Gerente,BR,39,38614
193,F,46,Preparatoria,Asistente,DE,10,107685
194,M,51,Secundaria,Asistente,BR,37,27207
195,F,53,Maestría,Gerente,ES,34,86645
196,F,43,Maestría,Gerente,MX,34,53628
197,M,23,Secundaria,Asistente,US,4,117820
198,M,52,Doctorado,Analista,ES,35,41601
199,F,30,Doctorado,Supervisor,FR,24,47199
200,M,24,Licenciatura,Especialista,FR,35,114449
201,M,39,Licenciatura,Supervisor,US,15,91805
202,M,52,Licenciatura,Director,ES,34,56272
203,M,45,Maestría,Gerente,DE,11,78465
204,M,28,Secundaria,Especialista,FR,24,25692
